

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 22survey.b   26 III24
/datum  52000.00
/ 060.3316903   015.5070749 
/UTC+01
/33V
/GPS datum WGS84 
/000A09BA
/no AC filter
/12.5V
/tune initialize Y auto-tune Y 049.3uT
/115200bps
/time nT sq 
104730.0  51761.24 99 
104735.0  51761.16 99 
104740.0  51761.21 99 
104745.0  51761.39 99 
104750.0  51761.31 99 
104755.0  51761.49 99 
104800.0  51761.41 99 
104805.0  51761.56 99 
104810.0  51761.50 99 
104815.0  51761.49 99 
104820.0  51761.45 99 
104825.0  51761.45 99 
104830.0  51761.50 99 
104835.0  51761.56 99 
104840.0  51761.71 99 
104845.0  51761.77 99 
104850.0  51761.71 99 
104855.0  51761.58 99 
104900.0  51761.86 99 
104905.0  51761.78 99 
104910.0  51761.88 99 
104915.0  51761.90 99 
104920.0  51761.85 99 
104925.0  51762.00 99 
104930.0  51762.03 99 
104935.0  51762.00 99 
104940.0  51762.19 99 
104945.0  51762.08 99 
104950.0  51762.21 99 
104955.0  51762.19 99 
105000.0  51762.15 99 
105005.0  51762.22 99 
105010.0  51762.42 99 
105015.0  51762.35 99 
105020.0  51762.45 99 
105025.0  51762.39 99 
105030.0  51762.36 99 
105035.0  51762.48 99 
105040.0  51762.34 99 
105045.0  51762.40 99 
105050.0  51762.52 99 
105055.0  51762.44 99 
105100.0  51762.40 99 
105105.0  51762.42 99 
105110.0  51762.32 99 
105115.0  51762.30 99 
105120.0  51762.22 99 
105125.0  51762.41 99 
105130.0  51762.38 99 
105135.0  51762.44 99 
105140.0  51762.40 99 
105145.0  51762.37 99 
105150.0  51762.35 99 
105155.0  51762.42 99 
105200.0  51762.39 99 
105205.0  51762.44 99 
105210.0  51762.22 99 
105215.0  51762.19 99 
105220.0  51762.22 99 
105225.0  51762.05 99 
105230.0  51762.16 99 
105235.0  51762.09 99 
105240.0  51761.94 99 
105245.0  51762.04 99 
105250.0  51761.91 99 
105255.0  51761.89 99 
105300.0  51762.06 99 
105305.0  51761.95 99 
105310.0  51761.92 99 
105315.0  51762.00 99 
105320.0  51762.09 99 
105325.0  51762.11 99 
