

/Gem Systems GSM-19T 9088370 v7.0 30 VII 2019 M t-e2t~v7o 
/ID 1 file 07survey.b   15 IV 24
/datum  52000.00
/ 065.2310530   019.7110038 
/UTC+01
/34W
/GPS datum WGS84 
/000510C2
/no AC filter
/12.7V
/tune initialize Y auto-tune Y 051.8uT
/115200bps
/time nT sq 
062855.0  52927.36 99 
062900.0  52927.08 99 
062905.0  52926.65 99 
062910.0  52926.21 99 
062915.0  52925.73 99 
062920.0  52925.24 99 
062925.0  52924.99 99 
062930.0  52924.64 99 
062935.0  52924.52 99 
062940.0  52924.39 99 
062945.0  52924.26 99 
062950.0  52924.34 99 
062955.0  52924.57 99 
063000.0  52924.98 99 
063005.0  52925.51 99 
063010.0  52926.09 99 
063015.0  52926.61 99 
063020.0  52926.99 99 
063025.0  52927.26 99 
063030.0  52927.57 99 
063035.0  52927.49 99 
063040.0  52927.50 99 
063045.0  52927.24 99 
063050.0  52927.00 99 
063055.0  52926.57 99 
063100.0  52926.14 99 
063105.0  52925.71 99 
063110.0  52925.25 99 
063115.0  52924.93 99 
063120.0  52924.47 99 
063125.0  52924.14 99 
063130.0  52923.79 99 
063135.0  52923.47 99 
063140.0  52923.21 99 
063145.0  52923.25 99 
063150.0  52923.24 99 
063155.0  52923.37 99 
063200.0  52923.70 99 
063205.0  52924.08 99 
063210.0  52924.48 99 
063215.0  52925.11 99 
063220.0  52925.49 99 
063225.0  52925.84 99 
063230.0  52926.19 99 
063235.0  52926.44 99 
063240.0  52926.77 99 
063245.0  52927.02 99 
063250.0  52927.08 99 
063255.0  52926.93 99 
063300.0  52926.43 99 
063305.0  52925.87 99 
063310.0  52924.94 99 
063315.0  52924.24 99 
063320.0  52923.69 99 
063325.0  52923.49 99 
063330.0  52923.61 99 
063335.0  52923.87 99 
063340.0  52924.11 99 
063345.0  52924.47 99 
063350.0  52924.74 99 
063355.0  52925.29 99 
063400.0  52925.55 99 
063405.0  52925.84 99 
063410.0  52925.86 99 
063415.0  52925.72 99 
063420.0  52925.59 99 
063425.0  52925.50 99 
063430.0  52925.33 99 
063435.0  52925.32 99 
063440.0  52925.46 99 
063445.0  52925.48 99 
063450.0  52925.52 99 
063455.0  52925.43 99 
063500.0  52925.29 99 
063505.0  52925.23 99 
063510.0  52925.15 99 
063515.0  52925.18 99 
063520.0  52925.35 99 
063525.0  52925.44 99 
063530.0  52925.54 99 
063535.0  52925.42 99 
063540.0  52925.36 99 
063545.0  52925.34 99 
063550.0  52925.29 99 
063555.0  52925.12 99 
063600.0  52924.96 99 
063605.0  52924.97 99 
063610.0  52925.03 99 
063615.0  52925.16 99 
063620.0  52925.37 99 
063625.0  52925.51 99 
063630.0  52925.88 99 
063635.0  52926.13 99 
063640.0  52926.47 99 
063645.0  52926.56 99 
063650.0  52926.52 99 
063655.0  52926.48 99 
063700.0  52926.40 99 
063705.0  52926.40 99 
063710.0  52926.24 99 
063715.0  52925.89 99 
063720.0  52925.55 99 
063725.0  52925.16 99 
063730.0  52924.86 99 
063735.0  52924.84 99 
063740.0  52925.06 99 
063745.0  52925.36 99 
063750.0  52925.71 99 
063755.0  52925.91 99 
063800.0  52925.87 99 
063805.0  52925.59 99 
063810.0  52925.36 99 
063815.0  52925.04 99 
063820.0  52924.74 99 
063825.0  52924.43 99 
063830.0  52923.95 99 
063835.0  52923.75 99 
063840.0  52923.55 99 
063845.0  52923.71 99 
063850.0  52924.02 99 
063855.0  52924.48 99 
063900.0  52924.99 99 
063905.0  52925.57 99 
063910.0  52926.14 99 
063915.0  52926.83 99 
063920.0  52927.28 99 
063925.0  52927.76 99 
063930.0  52927.83 99 
063935.0  52928.05 99 
063940.0  52928.02 99 
063945.0  52927.92 99 
063950.0  52927.75 99 
063955.0  52927.65 99 
064000.0  52927.61 99 
064005.0  52927.59 99 
064010.0  52927.62 99 
064015.0  52927.59 99 
064020.0  52927.66 99 
064025.0  52927.50 99 
064030.0  52927.47 99 
064035.0  52927.33 99 
064040.0  52927.37 99 
064045.0  52927.41 99 
064050.0  52927.39 99 
064055.0  52927.38 99 
064100.0  52927.24 99 
064105.0  52927.12 99 
064110.0  52926.93 99 
064115.0  52926.64 99 
064120.0  52926.60 99 
064125.0  52926.62 99 
064130.0  52926.86 99 
064135.0  52927.23 99 
064140.0  52927.79 99 
064145.0  52928.28 99 
064150.0  52928.69 99 
064155.0  52929.01 99 
064200.0  52929.02 99 
064205.0  52928.99 99 
064210.0  52928.74 99 
064215.0  52928.51 99 
064220.0  52928.51 99 
064225.0  52928.55 99 
064230.0  52928.63 99 
064235.0  52928.76 99 
064240.0  52928.98 99 
064245.0  52929.04 99 
064250.0  52929.00 99 
064255.0  52928.90 99 
064300.0  52928.91 99 
064305.0  52928.87 99 
064310.0  52928.80 99 
064315.0  52928.71 99 
064320.0  52928.47 99 
064325.0  52928.22 99 
064330.0  52927.88 99 
064335.0  52927.46 99 
064340.0  52927.09 99 
064345.0  52926.85 99 
064350.0  52926.78 99 
064355.0  52926.88 99 
064400.0  52926.97 99 
064405.0  52927.35 99 
064410.0  52927.80 99 
064415.0  52928.66 99 
064420.0  52929.75 99 
064425.0  52930.78 99 
064430.0  52931.35 99 
064435.0  52931.54 99 
064440.0  52931.37 99 
064445.0  52930.94 99 
064450.0  52930.42 99 
064455.0  52929.81 99 
064500.0  52929.28 99 
064505.0  52928.89 99 
064510.0  52928.73 99 
064515.0  52928.58 99 
064520.0  52928.51 99 
064525.0  52928.65 99 
064530.0  52928.64 99 
064535.0  52928.66 99 
064540.0  52928.54 99 
064545.0  52928.34 99 
064550.0  52928.16 99 
064555.0  52928.13 99 
064600.0  52928.20 99 
064605.0  52928.27 99 
064610.0  52928.31 99 
064615.0  52928.31 99 
064620.0  52928.19 99 
064625.0  52927.93 99 
064630.0  52927.74 99 
064635.0  52927.51 99 
064640.0  52927.36 99 
064645.0  52927.44 99 
064650.0  52927.72 99 
064655.0  52928.09 99 
064700.0  52928.49 99 
064705.0  52928.91 99 
064710.0  52929.24 99 
064715.0  52929.43 99 
064720.0  52929.45 99 
064725.0  52929.45 99 
064730.0  52929.36 99 
064735.0  52929.13 99 
064740.0  52928.95 99 
064745.0  52928.62 99 
064750.0  52928.42 99 
064755.0  52928.07 99 
064800.0  52927.74 99 
064805.0  52927.37 99 
064810.0  52927.22 99 
064815.0  52927.35 99 
064820.0  52927.63 99 
064825.0  52928.08 99 
064830.0  52928.46 99 
064835.0  52928.52 99 
064840.0  52928.54 99 
064845.0  52928.51 99 
064850.0  52928.51 99 
064855.0  52928.31 99 
064900.0  52928.13 99 
064905.0  52927.97 99 
064910.0  52927.73 99 
064915.0  52927.32 99 
064920.0  52926.93 99 
064925.0  52926.43 99 
064930.0  52926.11 99 
064935.0  52925.90 99 
064940.0  52926.00 99 
064945.0  52926.16 99 
064950.0  52926.40 99 
064955.0  52926.68 99 
065000.0  52926.83 99 
065005.0  52926.97 99 
065010.0  52927.24 99 
065015.0  52927.56 99 
065020.0  52928.03 99 
065025.0  52928.54 99 
065030.0  52929.01 99 
065035.0  52929.24 99 
065040.0  52929.27 99 
065045.0  52929.16 99 
065050.0  52928.82 99 
065055.0  52928.37 99 
065100.0  52927.83 99 
065105.0  52927.17 99 
065110.0  52926.56 99 
065115.0  52925.86 99 
065120.0  52925.35 99 
065125.0  52924.82 99 
065130.0  52924.49 99 
065135.0  52924.27 99 
065140.0  52924.03 99 
065145.0  52923.87 99 
065150.0  52924.03 99 
065155.0  52924.24 99 
065200.0  52924.57 99 
